219. 30 animals, 21 plants, 40 avg. energy, 32 avg. life time, 2 avg. childs
220. 31 animals, 21 plants, 39 avg. energy, 32 avg. life time, 2 avg. childs
221. 32 animals, 21 plants, 38 avg. energy, 32 avg. life time, 2 avg. childs
222. 34 animals, 21 plants, 36 avg. energy, 32 avg. life time, 2 avg. childs
223. 34 animals, 21 plants, 36 avg. energy, 33 avg. life time, 2 avg. childs
224. 34 animals, 20 plants, 38 avg. energy, 33 avg. life time, 2 avg. childs
225. 36 animals, 19 plants, 37 avg. energy, 33 avg. life time, 2 avg. childs
226. 36 animals, 19 plants, 37 avg. energy, 33 avg. life time, 2 avg. childs
227. 38 animals, 19 plants, 35 avg. energy, 33 avg. life time, 2 avg. childs
228. 41 animals, 20 plants, 31 avg. energy, 33 avg. life time, 2 avg. childs
229. 40 animals, 20 plants, 32 avg. energy, 33 avg. life time, 2 avg. childs
230. 41 animals, 20 plants, 31 avg. energy, 33 avg. life time, 2 avg. childs
231. 39 animals, 20 plants, 33 avg. energy, 33 avg. life time, 2 avg. childs
232. 38 animals, 20 plants, 34 avg. energy, 33 avg. life time, 2 avg. childs
233. 39 animals, 17 plants, 36 avg. energy, 33 avg. life time, 2 avg. childs
234. 41 animals, 17 plants, 35 avg. energy, 33 avg. life time, 2 avg. childs
235. 41 animals, 18 plants, 34 avg. energy, 33 avg. life time, 2 avg. childs
236. 42 animals, 19 plants, 32 avg. energy, 33 avg. life time, 2 avg. childs
237. 40 animals, 14 plants, 38 avg. energy, 33 avg. life time, 2 avg. childs
238. 40 animals, 13 plants, 39 avg. energy, 33 avg. life time, 2 avg. childs
239. 41 animals, 12 plants, 39 avg. energy, 33 avg. life time, 2 avg. childs
240. 39 animals, 11 plants, 43 avg. energy, 33 avg. life time, 2 avg. childs
241. 37 animals, 10 plants, 46 avg. energy, 33 avg. life time, 2 avg. childs
242. 37 animals, 11 plants, 45 avg. energy, 33 avg. life time, 2 avg. childs
243. 38 animals, 12 plants, 43 avg. energy, 33 avg. life time, 2 avg. childs
244. 41 animals, 12 plants, 40 avg. energy, 33 avg. life time, 2 avg. childs
245. 45 animals, 11 plants, 37 avg. energy, 33 avg. life time, 2 avg. childs
246. 47 animals, 12 plants, 35 avg. energy, 33 avg. life time, 2 avg. childs
247. 49 animals, 12 plants, 33 avg. energy, 33 avg. life time, 2 avg. childs
248. 51 animals, 13 plants, 31 avg. energy, 33 avg. life time, 2 avg. childs
249. 52 animals, 13 plants, 30 avg. energy, 33 avg. life time, 2 avg. childs
250. 53 animals, 14 plants, 28 avg. energy, 33 avg. life time, 2 avg. childs
251. 55 animals, 15 plants, 26 avg. energy, 33 avg. life time, 2 avg. childs
252. 56 animals, 12 plants, 28 avg. energy, 33 avg. life time, 2 avg. childs
253. 57 animals, 12 plants, 27 avg. energy, 33 avg. life time, 2 avg. childs
254. 57 animals, 12 plants, 27 avg. energy, 33 avg. life time, 2 avg. childs
255. 57 animals, 13 plants, 26 avg. energy, 33 avg. life time, 2 avg. childs
256. 58 animals, 12 plants, 26 avg. energy, 33 avg. life time, 2 avg. childs
257. 58 animals, 12 plants, 25 avg. energy, 33 avg. life time, 2 avg. childs
258. 58 animals, 13 plants, 24 avg. energy, 33 avg. life time, 2 avg. childs
259. 58 animals, 13 plants, 24 avg. energy, 33 avg. life time, 2 avg. childs
260. 57 animals, 11 plants, 26 avg. energy, 33 avg. life time, 2 avg. childs
261. 56 animals, 11 plants, 26 avg. energy, 33 avg. life time, 2 avg. childs
262. 55 animals, 11 plants, 26 avg. energy, 32 avg. life time, 2 avg. childs
263. 53 animals, 10 plants, 28 avg. energy, 32 avg. life time, 2 avg. childs
264. 49 animals, 9 plants, 30 avg. energy, 32 avg. life time, 2 avg. childs
265. 48 animals, 10 plants, 30 avg. energy, 32 avg. life time, 2 avg. childs
266. 45 animals, 11 plants, 31 avg. energy, 32 avg. life time, 3 avg. childs
267. 42 animals, 11 plants, 33 avg. energy, 32 avg. life time, 3 avg. childs
268. 41 animals, 12 plants, 33 avg. energy, 32 avg. life time, 3 avg. childs
269. 42 animals, 12 plants, 32 avg. energy, 32 avg. life time, 3 avg. childs
270. 39 animals, 13 plants, 34 avg. energy, 32 avg. life time, 3 avg. childs
271. 41 animals, 13 plants, 32 avg. energy, 32 avg. life time, 3 avg. childs
272. 44 animals, 12 plants, 31 avg. energy, 32 avg. life time, 3 avg. childs
273. 46 animals, 12 plants, 30 avg. energy, 32 avg. life time, 3 avg. childs
274. 47 animals, 13 plants, 28 avg. energy, 32 avg. life time, 3 avg. childs
275. 47 animals, 13 plants, 28 avg. energy, 32 avg. life time, 3 avg. childs
276. 45 animals, 13 plants, 29 avg. energy, 32 avg. life time, 3 avg. childs
277. 46 animals, 13 plants, 28 avg. energy, 32 avg. life time, 3 avg. childs
278. 46 animals, 11 plants, 30 avg. energy, 32 avg. life time, 3 avg. childs
279. 48 animals, 11 plants, 29 avg. energy, 32 avg. life time, 3 avg. childs
280. 49 animals, 12 plants, 27 avg. energy, 32 avg. life time, 3 avg. childs
281. 51 animals, 13 plants, 25 avg. energy, 32 avg. life time, 3 avg. childs
282. 53 animals, 13 plants, 24 avg. energy, 32 avg. life time, 3 avg. childs
283. 54 animals, 12 plants, 24 avg. energy, 32 avg. life time, 3 avg. childs
284. 56 animals, 13 plants, 22 avg. energy, 32 avg. life time, 2 avg. childs
285. 55 animals, 13 plants, 22 avg. energy, 32 avg. life time, 3 avg. childs
286. 55 animals, 13 plants, 22 avg. energy, 32 avg. life time, 3 avg. childs
287. 54 animals, 12 plants, 23 avg. energy, 32 avg. life time, 3 avg. childs
288. 55 animals, 12 plants, 22 avg. energy, 32 avg. life time, 3 avg. childs
289. 54 animals, 12 plants, 22 avg. energy, 32 avg. life time, 3 avg. childs
290. 51 animals, 12 plants, 23 avg. energy, 32 avg. life time, 3 avg. childs
291. 51 animals, 13 plants, 22 avg. energy, 32 avg. life time, 3 avg. childs
292. 51 animals, 13 plants, 22 avg. energy, 31 avg. life time, 3 avg. childs
293. 50 animals, 13 plants, 23 avg. energy, 31 avg. life time, 3 avg. childs
294. 49 animals, 14 plants, 22 avg. energy, 32 avg. life time, 3 avg. childs
295. 46 animals, 14 plants, 23 avg. energy, 33 avg. life time, 2 avg. childs
296. 44 animals, 14 plants, 24 avg. energy, 33 avg. life time, 2 avg. childs
297. 42 animals, 12 plants, 27 avg. energy, 33 avg. life time, 2 avg. childs
298. 41 animals, 13 plants, 27 avg. energy, 34 avg. life time, 2 avg. childs
299. 40 animals, 14 plants, 27 avg. energy, 34 avg. life time, 2 avg. childs
300. 38 animals, 15 plants, 27 avg. energy, 34 avg. life time, 2 avg. childs
301. 39 animals, 13 plants, 29 avg. energy, 34 avg. life time, 2 avg. childs
302. 35 animals, 14 plants, 31 avg. energy, 33 avg. life time, 2 avg. childs
303. 35 animals, 14 plants, 31 avg. energy, 33 avg. life time, 2 avg. childs
304. 36 animals, 15 plants, 29 avg. energy, 33 avg. life time, 2 avg. childs
305. 36 animals, 16 plants, 28 avg. energy, 33 avg. life time, 2 avg. childs
306. 35 animals, 16 plants, 29 avg. energy, 33 avg. life time, 2 avg. childs
307. 32 animals, 17 plants, 31 avg. energy, 34 avg. life time, 2 avg. childs
308. 33 animals, 16 plants, 32 avg. energy, 34 avg. life time, 2 avg. childs
309. 34 animals, 17 plants, 30 avg. energy, 34 avg. life time, 2 avg. childs
310. 35 animals, 17 plants, 29 avg. energy, 34 avg. life time, 2 avg. childs
311. 33 animals, 17 plants, 31 avg. energy, 34 avg. life time, 2 avg. childs
312. 33 animals, 18 plants, 30 avg. energy, 34 avg. life time, 2 avg. childs
313. 30 animals, 18 plants, 33 avg. energy, 35 avg. life time, 2 avg. childs
314. 31 animals, 18 plants, 33 avg. energy, 35 avg. life time, 2 avg. childs
315. 32 animals, 19 plants, 31 avg. energy, 35 avg. life time, 2 avg. childs
316. 30 animals, 19 plants, 33 avg. energy, 34 avg. life time, 2 avg. childs
317. 29 animals, 18 plants, 36 avg. energy, 34 avg. life time, 2 avg. childs
318. 29 animals, 19 plants, 35 avg. energy, 34 avg. life time, 2 avg. childs
319. 28 animals, 20 plants, 35 avg. energy, 34 avg. life time, 2 avg. childs
320. 27 animals, 20 plants, 37 avg. energy, 34 avg. life time, 2 avg. childs
321. 27 animals, 20 plants, 38 avg. energy, 34 avg. life time, 2 avg. childs
